Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SD,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMP,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMA,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMK,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - Perguruan Tinggi
Kotawaringin Barat,95,56,18,13,1
Kotawaringin Timur,184,95,25,22,5
Kapuas,227,136,46,19,3
Barito Selatan,93,59,25,6,2
Barito Utara,98,37,14,7,3
Sukamara,32,17,8,3,1
Lamandau,90,42,11,10,1
Seruyan,100,52,16,9,1
Katingan,151,75,22,9,–
Pulang Pisau,99,55,26,8,–
Gunung Mas,127,54,13,4,–
Barito Timur,98,35,14,6,–
Murung Raya,122,64,25,1,1
Kota Palangka Raya,30,26,17,7,5
